Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
1640459,1,NA,1,2,1139843,1266934,NA,NA,NA,NA,NA,NA,204,NA,NA,178,FALSE,SOFT,1,TRUE,1139843,Red Bull Racing,VER,5,FALSE,1677942240840
1772394,1,NA,2,2,1640459,NA,NA,53666,38509,NA,1733926,1772394,219,217,288,141,FALSE,SOFT,3,FALSE,1640459,Red Bull Racing,VER,1,FALSE,1677942741456
1863689,1,91295,3,2,NA,NA,29152,39195,22948,1801546,1840741,1863689,240,270,288,322,FALSE,SOFT,4,FALSE,1772394,Red Bull Racing,VER,1,TRUE,1677942873391
1973501,1,109812,4,3,NA,1971749,35615,44953,29244,1899304,1944257,1973501,205,215,NA,234,FALSE,SOFT,2,FALSE,1863689,Red Bull Racing,VER,1,FALSE,1677942964686
2405688,1,NA,5,3,2268525,NA,NA,53390,45107,NA,2360602,2405820,170,155,287,142,FALSE,SOFT,2,TRUE,1973501,Red Bull Racing,VER,1,FALSE,1677943074498
2538204,1,132516,6,4,NA,2536255,48978,48136,35402,2454666,2502802,2538204,195,185,NA,135,FALSE,SOFT,1,TRUE,2405688,Red Bull Racing,VER,1,FALSE,1677943506685
3224711,1,NA,7,4,3099792,NA,NA,56693,30799,NA,3193946,3224711,182,172,289,171,FALSE,SOFT,2,TRUE,2538204,Red Bull Racing,VER,1,FALSE,1677943639201
3315214,1,90503,8,4,NA,NA,28925,38915,22663,3253636,3292551,3315214,240,270,288,323,FALSE,SOFT,3,TRUE,3224711,Red Bull Racing,VER,1,TRUE,1677944325708
3440970,1,125756,9,5,NA,3439192,38904,53517,33335,3354118,3407635,3440970,158,184,NA,204,FALSE,SOFT,1,TRUE,3315214,Red Bull Racing,VER,1,FALSE,1677944416211
4461316,1,NA,10,5,4346488,NA,NA,52962,27476,NA,4433861,4461345,188,196,289,168,FALSE,SOFT,2,TRUE,3440970,Red Bull Racing,VER,1,FALSE,1677944541967
4551213,1,89897,11,5,NA,NA,28722,38645,22530,4490038,4528683,4551213,242,269,288,321,FALSE,SOFT,3,TRUE,4461316,Red Bull Racing,VER,1,TRUE,1677945562313
4674706,1,123493,12,6,NA,4672904,38552,53439,31502,4589765,4643204,4674706,165,175,NA,220,FALSE,SOFT,1,TRUE,4551213,Red Bull Racing,VER,1,FALSE,1677945652210
4944764,1,NA,13,6,4827354,NA,NA,53775,27224,NA,4917540,4944930,184,202,289,158,FALSE,UNKNOWN,2,FALSE,4674706,Red Bull Racing,VER,1,FALSE,1677945775703
5034472,1,89708,14,6,NA,NA,28736,38514,22458,4973500,5012014,5034472,241,271,288,321,TRUE,UNKNOWN,3,FALSE,4944764,Red Bull Racing,VER,1,TRUE,1677946045761
5153334,1,118862,15,6,NA,5150583,38733,48236,31893,5073205,5121441,5153334,156,213,NA,202,FALSE,UNKNOWN,4,FALSE,5034472,Red Bull Racing,VER,1,FALSE,1677946135469
