Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
11862,23.8,26,1012.2,FALSE,29.7,193,4.9
71861,23.8,26,1012.2,FALSE,29.7,193,4.9
131860,23.8,27,1012.2,FALSE,30,193,4.3
191860,23.8,27,1012.2,FALSE,30.1,186,5.5
251859,23.8,27,1012.2,FALSE,30.1,182,4.4
311858,23.8,28,1012.2,FALSE,30.3,185,4.5
371889,23.9,27,1012.2,FALSE,30.4,187,4.4
431873,23.9,26,1012.4,FALSE,30.4,188,4.6
491872,24,27,1012.2,FALSE,30.7,178,5
551871,24,26,1012.2,FALSE,30.8,191,4.9
593355,24,26,1012.2,FALSE,30.8,191,4.9
611871,24,27,1012.2,FALSE,30.9,198,5
671870,24,28,1012.2,FALSE,30.9,188,5
731869,24,28,1012.2,FALSE,30.9,196,4
791868,24.1,27,1012.2,FALSE,31,191,4.4
851868,24.1,27,1012.2,FALSE,31.3,182,5
911867,24.2,27,1012.2,FALSE,31.5,192,4
971866,24.2,27,1012.2,FALSE,31.4,191,4.9
1031866,24.1,27,1012.2,FALSE,31.5,195,4.1
1091865,24.1,26,1012.2,FALSE,31.5,185,4.4
1151864,24.2,26,1012.2,FALSE,31.6,173,3.5
1211879,24.1,26,1012.2,FALSE,31.9,194,3.5
1271863,24.2,25,1012.2,FALSE,31.9,174,4
1331862,24.3,25,1012.2,FALSE,32,194,3.7
1391877,24.4,25,1012.2,FALSE,32,169,5
1451861,24.4,24,1012,FALSE,32,169,4.3
1511876,24.4,24,1012.2,FALSE,32,183,5.9
1571859,24.4,24,1012,FALSE,32.2,191,5.3
1631874,24.5,24,1012.2,FALSE,32.3,176,5.3
1691874,24.5,25,1012,FALSE,32.3,180,4.6
1751873,24.5,23,1012,FALSE,32.5,179,4.5
1811872,24.5,23,1012,FALSE,32.8,184,5
1871871,24.6,24,1012,FALSE,32.8,173,4.3
1931871,24.7,24,1012,FALSE,32.8,194,4.5
1991870,24.8,24,1012,FALSE,32.8,190,5
2051901,24.8,24,1012,FALSE,32.9,190,4
2111916,24.9,24,1012,FALSE,33.1,190,4
2171930,24.9,25,1012,FALSE,33.3,192,4
